,0
0,3733.020866019613
1,2882.690389391112
2,2272.5694638819205
3,1844.291792066234
4,1551.976009269652
5,1358.4350833740828
6,1233.5432094109767
7,1153.970481592029
8,1102.919362645481
9,1069.1655633280843
10,1045.6494089517232
11,1028.1159744349857
12,1014.0703340431936
13,1002.073806289798
14,991.3047517839105
15,981.2963198990607
16,971.7837849124054
17,962.6169628991826
18,953.7103830121753
19,945.0150736065827
20,936.5026308792817
21,928.156237265405
22,919.9656025688679
23,911.9241161109222
24,904.0272440633007
25,896.2716276837209
26,888.6545759597752
27,881.1737801478916
28,873.8271531344116
29,866.6127390066302
30,859.5286621139537
31,852.5730983409044
32,845.7442588747934
33,839.040381003633
34,832.4597228716246
35,826.0005604645569
36,819.661185853755
37,813.4399061524479
38,807.3350428774908
39,801.3449315437622
40,795.4679213940908
41,789.7023752100168
42,784.0466691725354
43,778.499192755369
44,773.0583486408268
45,767.7225526525334
46,762.4902337016578
47,757.3598337446059
48,752.3298077508601
49,747.398623680064
50,742.5647624676641
51,737.8267180185461
52,733.182997208157
53,728.632119890639
54,724.1726189135135
55,719.8030401384523
56,715.52194246768
57,711.3278978755415
58,707.2194914447721
59,703.1953214069995
60,699.2539991870113
61,695.3941494503163
62,691.6144101535314
63,687.9134325971304
64,684.2898814800906
65,680.7424349559809
66,677.2697846900435
67,673.870635916824
68,670.5437074979228
69,667.2877319794411
70,664.1014556487138
71,660.9836385899343
72,657.9330547382848
73,654.9484919322059
74,652.0287519634546
75,649.172650624612
76,646.3790177537243
77,643.6466972757763
78,640.974547240715
79,638.3614398577585
80,635.8062615257479
81,633.3079128593162
82,630.8653087106673
83,628.477378186782
84,626.1430646618804
85,623.8613257849987
86,621.6311334825472
87,619.4514739557444
88,617.321347672837
89,615.2397693560301
90,613.2057679630805
91,611.2183866635089
92,609.2766828094185
93,607.379727900911
94,605.5266075461167
95,603.7164214158629
96,601.9482831930237
97,600.2213205166071
98,598.5346749206449
99,596.8875017679693
100,595.2789701789641
101,593.7082629553948
102,592.1745764994298
103,590.677120727971
104,589.2151189824261
105,587.7878079340575
106,586.3944374850511
107,585.0342706654557
108,583.706583526146
109,582.4106650279696
110,581.1458169272411
111,579.9113536577486
112,578.7066022094432
113,577.5309020039805
114,576.3836047672888
115,575.264074399334
116,574.1716868412586
117,573.105829940064
118,572.0659033110122
119,571.0513181979157
120,570.0614973314878
121,569.0958747859198
122,568.1538958338513
123,567.2350167998976
124,566.3387049128934
125,565.4644381570107
126,564.6117051219051
127,563.7800048520388
128,562.968846695329
129,562.1777501512629
130,561.4062447186163
131,560.6538697429129
132,559.9201742637499
133,559.2047168621186
134,558.5070655078379
135,557.8267974072182
136,557.1634988510667
137,556.5167650631403
138,555.8862000491492
139,555.2714164464078
140,554.6720353742268
141,554.0876862851331
142,553.5180068170046
143,552.962642646194
144,552.4212473417233
145,551.8934822206141
146,551.3790162044223
147,550.8775256770404
148,550.3886943438238
149,549.9122130920965
150,549.4477798530871
151,548.9950994653396
152,548.5538835396445
153,548.1238503255285
154,547.7047245793383
155,547.2962374339529
156,546.8981262701519
157,546.5101345896684
158,546.1320118899471
159,545.7635135406325
160,545.4044006618002
161,545.0544400039503
162,544.7134038297737
163,544.3810697977028
164,544.0572208472539
165,543.7416450861667
166,543.4341356793464
167,543.1344907396084
168,542.842513220227
169,542.5580108092851
170,542.2807958258214
171,542.0106851177716
172,541.7474999616951
173,541.4910659642799
174,541.2412129656165
175,540.9977749442303
176,540.7605899238604
177,540.5294998819718
178,540.304350659989
179,540.0849918752324
180,539.8712768345466
181,539.6630624496001
182,539.460209153843
183,539.2625808211
184,539.0700446857857
185,538.8824712647199
186,538.6997342805234
187,538.5217105865754
188,538.3482800935124
189,538.1793256972463
190,538.0147332084825
191,537.8543912837149
192,537.6981913576775
193,537.546027577231
194,537.3977967366612
195,537.2533982143684
196,537.1127339109247
197,536.9757081884783
198,536.8422278114809
199,536.7122018887181
200,536.5855418166178
201,536.4621612238169
202,536.3419759169634
203,536.2249038277309
204,536.1108649610254
205,535.9997813443604
206,535.8915769783805
207,535.7861777885117
208,535.6835115777152
209,535.5835079803264
