,0
0,3733.020866019613
1,605.3230722727039
2,761.8424258321047
3,559.4359190687461
4,577.297631015249
5,532.8025350536338
6,533.7068512861621
7,557.9874026976939
8,556.9903420204012
9,598.7956611623794
10,542.7796195867251
11,557.8348460385795
12,566.9657550920884
13,580.3452956264728
14,556.0222745883892
15,571.9523336089312
16,693.7896440618301
17,534.515707611583
18,537.523017409444
19,544.7529451883732
20,547.4512555365113
21,538.0665999598863
22,543.0470031473928
23,553.2127499855605
24,648.2594247004008
25,537.7955582212816
26,586.452444321271
27,557.4210704717128
28,610.1762895545218
29,539.6280655882141
30,534.0292082273867
31,599.1113967215896
32,532.8133894654748
33,537.8533005765636
34,628.3055023923765
35,577.7610393819249
36,532.219791481192
37,593.002689686727
38,540.0424795382754
39,574.722752259759
40,538.081370027946
41,537.4328577645416
42,531.9645622800738
43,533.6956281185501
44,545.519210388555
45,551.4880998260043
46,546.4230576857889
47,540.3956026511584
48,642.1967625299048
49,551.5165508085935
50,575.0163195075637
51,695.2319808220265
52,619.0275078952684
53,532.7602036568112
54,547.6829201244138
55,549.8888260432316
56,596.9754844105648
57,599.3362177947228
58,538.7516694879143
59,547.4866818759316
60,607.2157559111369
61,534.0498139355084
62,537.7110576684036
63,583.9039782400737
64,556.2768170359758
65,592.6261023381035
66,589.0807836940128
67,685.2297600732797
68,569.7193595647858
69,551.2404528484798
70,547.3279056937756
71,586.8807487818289
72,579.1830746569808
73,556.3448599164445
74,592.4692332651282
75,554.7327208031452
76,538.475012559993
77,534.3454160072364
78,626.3903888652811
79,550.9009260205925
80,594.2539072023617
81,535.4314469131109
82,535.180848267742
83,556.4717035281412
84,703.1127264456685
85,705.9422269159128
86,539.6925181120196
87,554.4646782274309
88,534.5842862537875
89,611.6738888083138
90,617.9124143302191
91,532.5941153026577
92,532.2130126647496
93,544.3103921639891
94,556.1755805353954
95,630.8229638534793
96,612.6119363085659
97,537.6750282247838
98,581.732594869026
99,706.573692670266
100,613.9710753260534
101,556.2329259917261
