,0
0,3733.020866019613
1,2076.2005049493005
2,1091.2169950201499
3,1068.5636727530652
4,1047.2888017246316
5,1026.8732807366307
6,1007.1752708480631
7,988.1468241748618
8,969.763519043782
9,952.0070006416972
10,934.8606443440048
11,918.3084726419779
12,902.3348789173727
13,886.924551686737
14,872.062449088229
15,857.733786408049
16,843.9240274379441
17,830.6188773840681
18,817.8042767587559
19,805.4663961059904
20,793.5916315106228
21,782.1666008614648
22,771.1781408388772
23,760.6133045932735
24,750.4593600757939
25,740.7037889773093
26,731.3342862272033
27,722.338759999218
28,713.7053321681226
29,705.4223391581544
30,697.4783331221525
31,689.8620833890658
32,682.5625781171167
33,675.5690260903197
34,668.8708585972661
35,662.4577313330689
36,656.3195262680441
37,650.4463534300302
38,644.8285525511229
39,639.4566945339537
40,634.3215826973582
41,629.4142537662738
42,624.725978575882
43,620.2482624652562
44,615.972845341019
45,611.891701396662
46,607.99703847815
47,604.281297091173
48,600.7371490498504
49,597.3574957707948
50,594.1354662201718
51,591.0644145247202
52,588.1379172606144
53,585.3497704365467
54,582.6939861894887
55,580.1647892132661
56,577.7566129413702
57,575.4640955063469
58,573.2820754986815
59,571.2055875483666
60,569.2298577523138
61,567.350298970509
62,565.5625060133137
63,563.8622507416409
64,562.2454771008964
65,560.7082961086127
66,559.2469808146303
67,557.857961251545
68,556.5378193919362
69,555.2832841276627
70,554.0912262852686
71,552.9586536902958
72,551.8827062920756
73,550.8606513593636
74,549.8898787560297
75,548.9678963048824
76,548.0923252466489
77,547.2608958001144
78,546.4714428284724
79,545.7219016160453
80,545.0103037587032
81,544.3347731705413
82,543.6935222086706
83,543.084847917331
84,542.5071283919445
85,541.9588192632034
86,541.4384503008035
87,540.9446221360135
88,540.4760031018911
89,540.0313261896272
90,539.6093861192113
91,539.2090365223611
92,538.829187235445
93,538.4688016999555
94,538.1268944679307
95,537.8025288096142
96,537.4948144205409
97,537.2029052251695
98,536.9259972741291
99,536.6633267321198
100,536.414167953487
101,536.1778316424936
102,535.9536630953236
103,535.7410405208757
104,535.53937343744
105,535.3481011423912
106,535.1666912520847
107,534.9946383091919
108,534.8314624547811
109,534.6767081625029
110,534.5299430323214
111,534.3907566412904
112,534.258759448958
113,534.1335817550483
114,534.0148727071511
115,533.9022993562212
116,533.7955457577684
117,533.6943121166923
