,0
0,3733.020866019613
1,1096.514068532695
2,1059.3657646327274
3,1024.232377303863
4,1009.2675984009265
5,1005.0215805608354
6,976.9783693750381
7,967.3182005665006
8,936.0609373439826
9,949.0456337211613
10,914.4212901855477
11,899.778161981082
12,914.1917678949859
13,954.4495387187047
14,898.6603219400695
15,839.5947858245077
16,816.6876159502281
17,806.3838498637126
18,786.5318936135553
19,778.2262601988834
20,766.9870712502076
21,756.7023655146963
22,746.0635501145645
23,755.7660498378325
24,725.6510349490483
25,718.625138340962
26,718.381693245262
27,703.8547280660473
28,703.2930939131478
29,711.826974037893
30,686.0717556820941
31,687.8301014377686
32,662.677955838424
33,658.9631250874652
34,653.9979966645604
35,640.0235751743992
36,638.37045116421
37,637.9047334522681
38,629.8467439512694
39,629.2144746346105
40,633.1838585410183
41,625.3797052301599
42,615.2996449905779
43,609.6348121907403
44,631.7112513349877
45,600.7325368805606
46,600.5129581223352
47,603.3441279241837
48,593.8359959175298
49,598.494973756353
50,591.0295704350074
51,584.4424631415769
52,592.0203562651866
53,589.3107876005802
54,578.6076080453522
55,578.503568159111
56,574.2389678202396
57,579.5530382029864
58,569.6265923783857
59,578.2662483070048
60,569.0985659430962
61,564.3137107570591
62,573.4596810329376
63,584.2744772759091
64,570.0728166808451
65,562.5047110655574
66,565.0573265516102
67,559.101303244805
68,557.1915982464191
69,556.7711165780869
70,569.0680176232814
71,565.1100869349019
72,556.5155655135892
73,575.9718328630966
74,554.8494050939366
75,558.0228178255088
76,551.4296523200453
77,553.8429996531621
78,552.1816820998076
79,553.5474024479875
80,549.1105557189327
81,568.4332084039131
82,561.5735957300104
83,552.2188656999649
84,547.7830538341905
85,555.2033875535459
86,558.9754481724464
87,562.811566938863
88,548.7912781697709
89,548.432605023426
90,544.3824601137826
91,548.4513009964052
92,552.7430213694557
93,559.0657464169609
94,539.7989964873288
95,539.1962538196883
96,553.6489809995469
97,539.9670978584847
98,542.8374486810408
99,547.0137406595711
100,539.5345125978944
101,538.8948085948298
102,548.2016987503407
103,537.5166634850999
104,548.5592838976889
105,547.4568345338907
106,538.4388963907257
107,540.3828085531562
108,559.6998392984617
109,537.5618945811884
110,536.6093333858241
111,540.109612655975
112,541.3711195113319
113,550.3216868608249
114,560.2876261363176
115,535.7340121731484
116,535.0332368052211
117,534.4803197535384
118,539.5184624495267
119,534.5561445999135
120,534.785095471162
121,536.0827067066467
122,535.6461886754714
123,546.928582677523
124,534.6163105937409
125,540.9107065726648
126,579.3677172630645
127,543.3120903982779
128,536.7299981490606
129,540.7463786170803
130,535.5105598422141
131,539.5714316108075
132,537.1336530887598
133,534.3596997170355
134,544.4865983290757
135,535.3603806886268
136,539.6218979561692
137,533.560689196092
138,542.9339913830675
139,550.0866378278379
140,547.9931505747135
141,533.1770915409858
142,533.9384632274916
143,535.0067360934559
144,533.1942932370395
145,535.078442094185
146,538.8868010357553
147,532.6126765814938
148,532.4990538180156
149,532.6245982350904
150,539.5633179221774
151,532.9041050302031
152,534.0906278069615
153,538.9378873987448
154,532.6859127554394
155,533.746647157318
156,554.0595650765105
157,539.1695083861048
158,533.3757310114028
159,535.9393149785221
160,534.6831855667292
161,534.1909483415407
162,538.1649148897807
163,533.854180373281
164,539.6417251255351
165,546.68220965716
166,539.175624309599
167,538.4593223903267
168,533.4093990497282
169,532.8130642097727
170,533.6514139102061
171,533.9478584107554
172,533.1368336499386
173,537.3966109646518
174,535.140623705118
175,543.569865649382
176,551.5431081637452
177,563.8847289850422
178,543.7372421750655
179,532.8402362431517
180,532.6192380956409
181,534.5296181729808
182,534.8786734155108
183,535.6448979759297
184,536.4126857329293
185,532.0843729268
186,534.6235635495545
187,545.1371942233391
188,532.0042385711102
189,531.9724334816009
190,535.3210285213314
191,532.3551659338859
192,533.3377331237056
193,532.7810328418774
194,532.3280368790855
195,534.8555909539868
196,536.4670076935847
197,531.9923161600562
198,534.2411487136682
199,533.689522467418
200,532.8039125158253
201,532.5341356694142
202,539.9433741100479
203,536.6110743670595
204,532.6387556807892
205,554.6971831244133
206,533.0061876654138
207,534.5191276776781
208,532.5624728216791
209,541.0445445511652
210,532.6904152729622
211,537.5832226494648
212,532.7208529502419
213,532.2035567221358
214,537.2578578501689
215,534.9908554131775
216,532.4092755299847
217,557.2203106458537
218,531.9540041177304
219,533.0099293436692
220,538.3552230240355
221,532.0438074787796
222,546.7213112806243
223,553.32169689322
224,532.6432227096271
225,533.0424175752894
226,534.4623709584936
227,533.0121372785644
228,548.4026677229366
229,540.9125205302752
230,555.6687785820471
231,570.8284881850935
232,558.4564829727794
233,532.5311899673211
234,539.7698833272101
235,532.9475497652772
236,538.8320348133499
237,532.7062841805146
238,538.2505630412566
239,532.6319050527684
240,537.4157855930671
241,532.7298639516004
242,532.241923916233
243,536.0065682686063
244,533.6056907941935
245,532.0351900093713
246,558.7622647541465
247,535.5771928968237
248,541.5578431220908
249,536.5394468833102
250,541.211379848158
251,532.0053101220616
252,544.3187168583969
253,563.3996506785195
254,536.4191509644479
255,532.2738402943802
256,545.4444436953426
257,543.7046982431128
258,533.760744354524
259,536.220198487395
260,532.8182852744934
261,574.0709874272394
262,560.6808499190427
263,534.1690667435148
264,532.1865973906885
265,538.9852600249922
266,540.7632987070227
267,534.6673277218587
268,538.1964862050417
269,536.1208455787909
270,532.3105595726313
271,531.9839942237209
272,536.9325946137021
273,539.3234699602255
274,552.5323613684445
275,548.8812823918969
276,540.8542642222668
277,541.2757170870389
278,533.2349655243055
279,532.4089209564327
280,533.0134186896205
281,532.455758802446
282,532.0016982761452
283,534.4986129175878
284,532.7925214204027
285,534.4599491857554
286,533.5513460563448
287,534.0584221025616
288,539.9714298756539
289,532.4642628655039
290,540.378429995805
291,532.7891470469276
292,537.104824516462
293,532.3097169633711
294,534.4902041257967
295,537.160346297494
296,533.50485523821
297,536.0903608463809
298,532.329742801844
299,532.7039892962756
300,531.8839330693507
301,534.0251374523069
302,532.3615075011571
303,533.4985759567833
304,532.6146380452801
305,534.7699815353508
306,536.4585583641416
307,540.6035806425675
308,532.0808474290819
309,533.7329478326487
310,533.8770052532635
311,533.3090354608505
312,542.0947900462924
313,533.3023573863619
314,533.6618659759015
315,538.0601732891583
316,533.0163344348392
317,532.857449796541
318,538.8475749392923
319,539.5626692491994
