,0
0,3733.020866019613
1,1116.570873021529
2,1280.4960520699933
3,1075.0751431334818
4,1112.6744682243284
5,1266.6378282353367
6,1045.7656216279024
7,1019.1905486619418
8,1191.1665343150837
9,1502.2419439087587
10,1181.8727187110956
11,1038.4035268666485
12,933.0942751042637
13,925.8637793321517
14,997.1581751339284
15,1280.5714149515516
16,963.5650505808496
17,949.0585545650285
18,825.2040232552197
19,893.4950990673638
20,939.482080862408
21,744.3327878609975
22,849.5335231629816
23,863.1228338849634
24,717.868636258953
25,777.6597615759271
26,885.1499551699839
27,1017.3321392319585
28,912.031196100928
29,880.9936432819095
30,1107.261840479698
31,1134.4156826509989
32,1025.0313300059618
33,670.1501665465
34,645.4623155092446
35,810.2108377576826
36,670.454572468558
37,663.7612408633556
38,748.1309029892008
39,636.2346551705109
40,669.2263426407891
41,723.769406628632
42,707.622296457574
43,686.4940862096871
44,868.1421033922802
45,824.3028530591116
46,631.9917281467018
47,737.6056280304787
48,637.7338976432
49,776.0449845514926
50,725.1936005530707
51,718.3166768689417
52,747.122886593408
53,600.1710290735607
54,575.4443109041773
55,575.5009348264125
56,588.056122641062
57,581.694713736128
58,595.6777449730051
59,760.6800223688191
60,548.9552175155119
61,577.0733232340183
62,601.6405331548835
63,684.7202129112029
64,654.8666748370032
65,730.4643875951432
66,605.1151218830776
67,672.7429710250573
68,558.6597852706624
69,549.6158079241119
70,629.0754477076349
71,775.7763012762316
72,905.7764438157309
73,674.0822081631999
74,552.458066274436
75,560.3507343124329
76,555.8071938887773
77,589.6306864502011
78,566.3052192797919
79,604.703957858487
80,613.3759997030892
81,619.5524290673206
82,564.8987151779695
83,572.619803360626
84,712.420187464448
85,813.0198959000528
86,841.6676194803383
87,682.7027178460253
88,597.7806049553583
89,558.6578058639013
90,573.1705236830572
91,597.3398114555239
92,653.4551495444948
93,544.476114588434
94,676.4671974455467
95,808.9832143748273
96,541.9762261812615
97,698.1186136351394
98,658.593282165188
99,613.6538897068991
100,597.8078241373003
101,731.8073977386944
102,713.154039867354
103,614.0889358608453
104,695.6953787601036
105,829.4472785651836
106,697.0774401105114
107,573.0177802487674
108,566.5781861741448
109,890.1456117842542
110,547.7956633809814
111,643.4192045923824
112,652.7012723994982
113,819.3861037618583
114,541.9136469670411
115,699.312056874724
116,555.2460815184218
117,544.7709163873932
118,547.8749209848676
119,542.847003704508
120,777.6643239772235
121,634.5689102679062
